"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Tbyte","1.25",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","dram__sectors_read.sum","sector","39173307072",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","21668154792",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum","sector","17356468105",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","57.37",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","93367876122",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sectors_op_read_lookup_miss.sum","sector","59862171715",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","memory_l1_wavefronts_shared","sectors","0",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","memory_l2_theoretical_sectors_global","sectors","21705519048",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","memory_l2_theoretical_sectors_global_ideal","sectors","11077464008",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Memory Workload Analysis","Memory Throughput","Tbyte/s","3.12",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Memory Workload Analysis","Mem Busy","%","52.14",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Memory Workload Analysis","Max Bandwidth","%","77.68",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Memory Workload Analysis","L1/TEX Hit Rate","%","5.25",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Ratio","%","0",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Input Sectors","sector","30732202155",
"0","293357","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedncu_baseline_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tenso_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Memory Workload Analysis","L2 Hit Rate","%","57.37",
